course_code,course_title,department,document_url,source_page_url,source_name,audit_status,academic_year,term,course_code_found,page_count,pdf_sha256,evidence,rejection_reason
CIVTECH 4LU3,Advanced Land Use Planning,CIVTECH,https://www.eng.mcmaster.ca//app/uploads/2024/01/CIVTECH-4LU3-Summer-2024.pdf,https://www.eng.mcmaster.ca/sept/courses/,engineering_technology,approved,2024,summer,True,10,a52930329dd95143b3a0be174e22b4e639d0126318b214f67f8a53e0eef3a970,filename: summer-2024; matching course code,
CIVTECH 4RC3,Reinforced Concrete and Masonry Design,CIVTECH,https://www.eng.mcmaster.ca//app/uploads/2024/01/CIVTECH-4RC3-Fall-2023.pdf,https://www.eng.mcmaster.ca/sept/courses/,engineering_technology,approved,2023,fall,True,5,d9c528b145f45c7f026661991b0137cf2176b71591a6acc60ac03c30c944bd17,filename: fall-2023; matching course code,
CIVTECH 4WT3,Municipal and Environmental Engineering,CIVTECH,https://www.eng.mcmaster.ca//app/uploads/2024/01/CIVTECH-4WT3-Fall-2023.pdf,https://www.eng.mcmaster.ca/sept/courses/,engineering_technology,approved,2023,fall,True,5,478f0ca71df7cb43e1723f5f21d9fe1ee8630da525da79c3bf6f0450c302e3b4,filename: fall-2023; matching course code,
COMMERCE 4EL3,Experiential Learning in Business,COMMERCE,https://ug.degroote.mcmaster.ca/wp-content/uploads/sites/91/2023/12/4EL3-Experiential-Learning-Project-Proposal-Outline_v.-Nov-23.pdf,https://ug.degroote.mcmaster.ca/descriptions/4el3/,degroote_commerce,rejected,,,True,2,0e65da24f4b1c3e79d5e50980d17b7446c7e76f0602f66abd51f6f1dec457754,matching course code,non-outline document marker: project proposal outline
COMMERCE 4SY3,Independent Study in Business,COMMERCE,https://ug.degroote.mcmaster.ca/wp-content/uploads/sites/91/2023/12/4SY3-Independent-Study-Project-Proposal-Outline_v.-Nov-23.pdf,https://ug.degroote.mcmaster.ca/descriptions/4sy3/,degroote_commerce,rejected,,,True,3,669c9623b50d2346260a4355acb055bb2465276f7122c35e5fbc21efd2a35244,matching course code,non-outline document marker: project proposal outline
COMPENG 2DI4,Logic Design,COMPENG,https://www.eng.mcmaster.ca//app/uploads/2025/09/COMPENG-2DI4-Course-Outline-2025.pdf,https://www.eng.mcmaster.ca/ece/courses/,engineering_electrical_computer,approved,2025,fall,True,11,9af05ad549f486888fc5523d345a6c463def51f34e11209ecb79a2569bf61745,visual: Course Outline; Academic Year 2025/26; Term Fall,
COMPENG 3DQ5,Digital Systems Design,COMPENG,https://www.eng.mcmaster.ca//app/uploads/2025/09/COMPENG-3DQ5-Course-Outline-2025.pdf,https://www.eng.mcmaster.ca/ece/courses/,engineering_electrical_computer,approved,2025,fall,True,10,a7dd23a54e16ac328f3995860b6f917c7d0acdc9dd4fa7ba6ba5357f15a78625,visual: Course Outline; Academic Year 2025/26; Term Fall,
COMPSCI 4Z03,Directed Readings,COMPSCI,https://www.cas.mcmaster.ca/cas/0files/rsh_prj_frm_perm_cs4z03.pdf,https://www.eng.mcmaster.ca/cas/courses/,engineering_computing_software,rejected,,,True,1,8c6e48acacd26abd4ef96c57b4208489d2ef7bbc59ab2b41c64687f7cf3ada0b,visual: department permission form and computer science proposal,not a published course outline
ELECENG 2CI4,Introduction to Circuit Analysis,ELECENG,https://www.eng.mcmaster.ca//app/uploads/2024/01/EE-2CI4-Course-Outline-2025.pdf,https://www.eng.mcmaster.ca/ece/courses/,engineering_electrical_computer,approved,2025,fall,True,12,b548af2c54c998d258ffff9236004855f7ec277d35332cf11c8749aba6c0a7d8,visual: Course Outline; Academic Year 2025/26; Term Fall,
ELECENG 2MM3,Electrical Circuits and Power,ELECENG,https://www.eng.mcmaster.ca//app/uploads/2024/01/EE_2MM3-Fall-2026.pdf,https://www.eng.mcmaster.ca/ece/courses/,engineering_electrical_computer,approved,2026,fall,True,7,50e7f3b388abd04a1887829b253b8f0cca2f3e39a8e019ac4e16e6147b74794f,filename: fall-2026; matching course code,
ENGPHYS 2CD4,Computational Mechanics: Dynamics,ENGPHYS,https://www.eng.mcmaster.ca//app/uploads/2024/01/EP2CD4-Course-Outline_2026.06.30.pdf,https://www.eng.mcmaster.ca/engphys/courses/,engineering_engineering_physics,approved,2026,winter,True,23,a6a58372f6ec667a08f89d239798ad3b118f67765075698013f2a51abb3b77b3,document: winter 2026; matching course code,
ENGPHYS 2E04,Analog and Digital Circuits,ENGPHYS,https://www.eng.mcmaster.ca//app/uploads/2024/01/ENGPHYS-2E04-Course-Outline-Fall-2026.pdf,https://www.eng.mcmaster.ca/engphys/courses/,engineering_engineering_physics,approved,2026,fall,True,9,656244d88cd7617c91d08b605570966fdae006a9be7546da073019961cb0ca85,filename: fall-2026; matching course code,
ENGPHYS 3BA3,Circuits with Non-Linear and Active Components,ENGPHYS,https://www.eng.mcmaster.ca//app/uploads/2024/01/EP3BA3-CourseOutline-2026-v0.pdf,https://www.eng.mcmaster.ca/engphys/courses/,engineering_engineering_physics,approved,2026,fall,True,9,90c60b70aa2a8b3295d82e563c09b34dc6f2d707e7f5cbec8d6b3cdca4925987,document: fall 2026; matching course code,
ENGPHYS 3ES3,Introduction to Energy Systems,ENGPHYS,https://www.eng.mcmaster.ca//app/uploads/2024/01/Course-Outline-ENG-PHYS-3ES3-Introduction-to-Energy-Systems_v1_UG_EngPhys_August-2025.pdf,https://www.eng.mcmaster.ca/engphys/courses/,engineering_engineering_physics,approved,2025,fall,True,8,650a4eb67ff047cbaed39aadb55eb794f730953e1d9c4f5dfe3f5d582606ad9b,document: fall 2025; matching course code,
ENGPHYS 3SP3,Space Systems Engineering,ENGPHYS,https://www.eng.mcmaster.ca//app/uploads/2024/01/ENGPHYS_3SP3_Course_Outline_UG_EngPhys_Fall_20250909.pdf,https://www.eng.mcmaster.ca/civil/courses/,engineering_civil,approved,2025,fall,True,10,b4e5e4f2d67b4d6d8e86ca7459fba38c6fb1af1c5517af7ed531be25420c28bd,filename: fall_2025; matching course code,
ENGPHYS 3W03,Signals and Systems for Engineering,ENGPHYS,https://www.eng.mcmaster.ca//app/uploads/2024/01/Course-Outline-3W03-2026-Fall.pdf,https://www.eng.mcmaster.ca/engphys/courses/,engineering_engineering_physics,approved,2026,fall,True,8,b0eebfe5b41911b8754ab92be37385245ccde7d72c0696005cea0e9c09425019,filename: 2026-fall; matching course code,
ENGPHYS 4A06A,Engineering Physics Design and Synthesis Project,ENGPHYS,https://www.eng.mcmaster.ca//app/uploads/2024/01/Course-Outline-4A06-2026-2027.pdf,https://www.eng.mcmaster.ca/engphys/courses/,engineering_engineering_physics,approved,2026,fall,True,11,ccf6db41e027a2cf3de19b4f5666eac142bde18190d43734b689dcacfec684b9,document: fall 2026; matching course code,
ENGPHYS 4H04A,Research Project in Engineering Physics,ENGPHYS,https://www.eng.mcmaster.ca//app/uploads/2024/01/Course-Outline-3H04-and-4H04.pdf,https://www.eng.mcmaster.ca/engphys/courses/,engineering_engineering_physics,manual_review,,,False,4,e947fd278b84fe6ac022da9066bb290f5cf7f0cbdd595976c07aa36c1b7831ed,,expected course code not found in filename or first five pages
