course_code,course_title,department,outline_status,preferred_source_kind,preferred_source_name,preferred_academic_year,preferred_term,preferred_professors,preferred_document_urls,preferred_source_page_url,needs_review
CHEMENG 4B03,Polymer Reaction Engineering,CHEMENG,found,official_department,engineering_chemical,,,Boyang Zhang,https://www.eng.mcmaster.ca//app/uploads/2024/01/CHEMENG-4B03_6B03_Course-Outline_F2025.pdf,https://www.eng.mcmaster.ca/chemeng/courses/,True
CHEMENG 4E03,Modern Methods for Process Control,CHEMENG,missing,,,,,,,,False
CHEMENG 4K03,Reactor Design for Heterogeneous Systems: Principles and Machine Learning Perspective,CHEMENG,found,official_department,engineering_chemical,,,Prashant Mhaskar,https://www.eng.mcmaster.ca//app/uploads/2024/01/CHEMENG-4K03_Course-Outline_F2025.pdf,https://www.eng.mcmaster.ca/chemeng/courses/,True
CHEMENG 4L03,Advanced Laboratory Skills,CHEMENG,found,official_department,engineering_chemical,,,Tim Stephens,https://www.eng.mcmaster.ca//app/uploads/2024/01/4L03-Syllabus-Word-Doc-Aug-25-2025.pdf,https://www.eng.mcmaster.ca/chemeng/courses/,True
CHEMENG 4M03,Industrial Separation Processes,CHEMENG,found,official_department,engineering_chemical,,,Raja Ghosh,https://www.eng.mcmaster.ca//app/uploads/2024/01/4M03CourseOutline2025.pdf,https://www.eng.mcmaster.ca/chemeng/courses/,True
CHEMENG 4N04,Engineering Economics and Problem Solving,CHEMENG,found,official_department,engineering_chemical,,,Jake Nease,https://www.eng.mcmaster.ca//app/uploads/2024/01/4N04_Syllabus_2025.pdf,https://www.eng.mcmaster.ca/chemeng/courses/,True
CHEMENG 4W06A,Chemical Plant Design and Capstone Project,CHEMENG,missing,,,,,,,,False
CHEMENG 4Y04A,Senior Independent Project,CHEMENG,found,official_department,engineering_chemical,,,Todd Hoare,https://www.eng.mcmaster.ca//app/uploads/2024/01/CHEMICAL-ENGINEERING-4Y04-Course-Outline-and-Supervisory-Agreement-1.pdf,https://www.eng.mcmaster.ca/chemeng/courses/,True
CIVBME 5P06A,Integrated Civil & Biomedical Engineering Capstone Design Project,CIVBME,missing,,,,,,,,False
CIVDEM 3EL3,Election Law and Policy,CIVDEM,missing,,,,,,,,False
CIVDEM 3Z03,Canadian Public Sector Management,CIVDEM,missing,,,,,,,,False
CIVDEM 4ED6A,Partnered Research in Elections and Democracy,CIVDEM,missing,,,,,,,,False
