course_code,course_title,department
ENGTECH 1ET0,Introduction to the Technology Co-op Program,ENGTECH
ENGTECH 1MC3,Mathematics I,ENGTECH
ENGTECH 1PH3,Physics,ENGTECH
ENGTECH 1PP3,Programming Fundamentals,ENGTECH
ENGTECH 2EE0,Four Month Co-op Experience I,ENGTECH
ENGTECH 2ES3,Engineering Statistics,ENGTECH
ENGTECH 2ET0,Four Month Co-op Experience I,ENGTECH
ENGTECH 2MA3,Mathematics III,ENGTECH
ENGTECH 3DM3,Discrete Mathematics,ENGTECH
ENGTECH 3EE0,Four Month Co-op Experience II,ENGTECH
ENGTECH 3ES3,Engineering Statistics,ENGTECH
